0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,30,married,primary,no,1787,no,no,cellular,79,1,-1,0,unknown,0
1,33,married,secondary,no,4789,yes,yes,cellular,220,1,339,4,failure,0
2,35,single,tertiary,no,1350,yes,no,cellular,185,1,330,1,failure,0
3,30,married,tertiary,no,1476,yes,yes,unknown,199,4,-1,0,unknown,0
4,59,married,secondary,no,0,yes,no,unknown,226,1,-1,0,unknown,0
5,35,single,tertiary,no,747,no,no,cellular,141,2,176,3,failure,0
6,36,married,tertiary,no,307,yes,no,cellular,341,1,330,2,other,0
7,39,married,secondary,no,147,yes,no,cellular,151,2,-1,0,unknown,0
8,41,married,tertiary,no,221,yes,no,unknown,57,2,-1,0,unknown,0
9,43,married,primary,no,-88,yes,yes,cellular,313,1,147,2,failure,0
10,39,married,secondary,no,9374,yes,no,unknown,273,1,-1,0,unknown,0
11,43,married,secondary,no,264,yes,no,cellular,113,2,-1,0,unknown,0
12,36,married,tertiary,no,1109,no,no,cellular,328,2,-1,0,unknown,0
13,20,single,secondary,no,502,no,no,cellular,261,1,-1,0,unknown,1
14,31,married,secondary,no,360,yes,yes,cellular,89,1,241,1,failure,0
15,40,married,tertiary,no,194,no,yes,cellular,189,2,-1,0,unknown,0
16,56,married,secondary,no,4073,no,no,cellular,239,5,-1,0,unknown,0
17,37,single,tertiary,no,2317,yes,no,cellular,114,1,152,2,failure,0
18,25,single,primary,no,-221,yes,no,unknown,250,1,-1,0,unknown,0
19,31,married,secondary,no,132,no,no,cellular,148,1,152,1,other,0
20,38,divorced,unknown,no,0,yes,no,cellular,96,2,-1,0,unknown,0
21,42,divorced,tertiary,no,16,no,no,cellular,140,3,-1,0,unknown,0
22,44,single,secondary,no,106,no,no,unknown,109,2,-1,0,unknown,0
23,44,married,secondary,no,93,no,no,cellular,125,2,-1,0,unknown,0
24,26,married,tertiary,no,543,no,no,cellular,169,3,-1,0,unknown,0
25,41,married,tertiary,no,5883,no,no,cellular,182,2,-1,0,unknown,0
26,55,married,primary,no,627,yes,no,unknown,247,1,-1,0,unknown,0
27,67,married,unknown,no,696,no,no,telephone,119,1,105,2,failure,0
28,56,married,secondary,no,784,no,yes,cellular,149,2,-1,0,unknown,0
29,53,married,secondary,no,105,no,yes,cellular,74,2,-1,0,unknown,0
30,68,divorced,secondary,no,4189,no,no,telephone,897,2,-1,0,unknown,1
31,31,married,secondary,no,171,no,no,cellular,81,3,-1,0,unknown,0
32,59,married,secondary,no,42,no,no,cellular,40,1,-1,0,unknown,0
33,32,single,tertiary,no,2536,yes,no,cellular,958,6,-1,0,unknown,1
34,49,married,tertiary,no,1235,no,no,cellular,354,3,-1,0,unknown,1
35,42,divorced,secondary,no,1811,yes,no,unknown,150,1,-1,0,unknown,0
36,78,divorced,primary,no,229,no,no,telephone,97,1,-1,0,unknown,1
37,32,married,secondary,no,2089,yes,no,cellular,132,1,-1,0,unknown,1
38,33,married,secondary,no,3935,yes,no,cellular,765,1,342,2,failure,1
39,23,single,tertiary,no,363,yes,no,unknown,16,18,-1,0,unknown,0
40,38,single,tertiary,no,11971,yes,no,unknown,609,2,101,3,failure,0
41,36,single,tertiary,no,553,no,no,cellular,106,2,-1,0,unknown,0
42,52,married,secondary,no,1117,yes,no,cellular,365,1,-1,0,unknown,0
43,32,married,tertiary,no,396,yes,no,cellular,205,3,-1,0,unknown,0
44,32,single,tertiary,no,2204,yes,no,cellular,11,4,-1,0,unknown,0
45,34,single,tertiary,no,872,yes,no,unknown,105,2,-1,0,unknown,0
46,55,married,primary,no,145,no,no,telephone,59,3,5,2,other,0
47,26,married,primary,no,0,yes,no,unknown,425,1,-1,0,unknown,0
48,32,single,primary,yes,-849,yes,yes,cellular,204,1,-1,0,unknown,0
49,61,married,unknown,no,4629,yes,no,cellular,181,1,92,1,success,1
50,45,divorced,primary,no,844,no,no,unknown,1018,3,-1,0,unknown,1
51,37,single,secondary,no,228,yes,no,cellular,1740,2,-1,0,unknown,0
52,38,single,secondary,no,50,no,no,cellular,98,2,-1,0,unknown,0
53,34,married,tertiary,no,1539,yes,no,cellular,441,1,56,1,other,1
54,53,married,secondary,no,2231,yes,no,cellular,272,3,-1,0,unknown,0
55,48,married,secondary,no,3064,yes,no,telephone,159,2,-1,0,unknown,0
56,57,married,secondary,no,82,no,yes,telephone,140,1,-1,0,unknown,0
